"Title","Gross Domestic Product: chained volume measures: Seasonally adjusted £m"
"CDID","ABMI"
"Source dataset ID","QNA"
"PreUnit","£"
"Unit","m"
"Release date","30-06-2017"
"Next release","26 July 2017"
"Important notes",
"1948","336854"
"1949","348243"
"1950","359774"
"1951","373254"
"1952","379199"
"1953","400153"
"1954","417347"
"1955","433302"
"1956","440315"
"1957","448743"
"1958","454426"
"1959","473093"
"1960","502799"
"1961","516253"
"1962","521906"
"1963","547364"
"1964","577677"
"1965","589975"
"1966","599211"
"1967","615879"
"1968","649439"
"1969","661919"
"1970","679900"
"1971","703556"
"1972","733770"
"1973","781583"
"1974","762257"
"1975","750912"
"1976","772852"
"1977","791889"
"1978","825111"
"1979","855933"
"1980","838462"
"1981","831931"
"1982","848700"
"1983","884520"
"1984","904639"
"1985","942519"
"1986","972239"
"1987","1024346"
"1988","1083629"
"1989","1111618"
"1990","1119587"
"1991","1107059"
"1992","1111043"
"1993","1138897"
"1994","1183144"
"1995","1212798"
"1996","1243709"
"1997","1282602"
"1998","1323527"
"1999","1366983"
"2000","1418176"
"2001","1456837"
"2002","1491761"
"2003","1543468"
"2004","1582486"
"2005","1629519"
"2006","1670306"
"2007","1712996"
"2008","1702252"
"2009","1628583"
"2010","1659772"
"2011","1684820"
"2012","1706942"
"2013","1739563"
"2014","1792976"
"2015","1832318"
"2016","1865410"
"1955 Q1","107263"
"1955 Q2","107398"
"1955 Q3","109591"
"1955 Q4","109050"
"1956 Q1","110201"
"1956 Q2","109919"
"1956 Q3","109859"
"1956 Q4","110336"
"1957 Q1","112513"
"1957 Q2","112481"
"1957 Q3","111780"
"1957 Q4","111969"
"1958 Q1","114280"
"1958 Q2","111698"
"1958 Q3","114160"
"1958 Q4","114288"
"1959 Q1","114860"
"1959 Q2","116749"
"1959 Q3","119239"
"1959 Q4","122245"
"1960 Q1","125247"
"1960 Q2","124335"
"1960 Q3","126225"
"1960 Q4","126992"
"1961 Q1","129056"
"1961 Q2","129591"
"1961 Q3","128912"
"1961 Q4","128694"
"1962 Q1","129273"
"1962 Q2","130521"
"1962 Q3","131297"
"1962 Q4","130815"
"1963 Q1","131549"
"1963 Q2","137141"
"1963 Q3","137783"
"1963 Q4","140891"
"1964 Q1","141748"
"1964 Q2","144191"
"1964 Q3","144765"
"1964 Q4","146973"
"1965 Q1","146558"
"1965 Q2","146678"
"1965 Q3","147917"
"1965 Q4","148822"
"1966 Q1","149072"
"1966 Q2","149911"
"1966 Q3","150424"
"1966 Q4","149804"
"1967 Q1","151844"
"1967 Q2","153930"
"1967 Q3","154649"
"1967 Q4","155456"
"1968 Q1","161113"
"1968 Q2","160428"
"1968 Q3","163618"
"1968 Q4","164280"
"1969 Q1","163917"
"1969 Q2","165073"
"1969 Q3","166036"
"1969 Q4","166893"
"1970 Q1","165838"
"1970 Q2","169756"
"1970 Q3","171401"
"1970 Q4","172905"
"1971 Q1","171908"
"1971 Q2","174944"
"1971 Q3","178004"
"1971 Q4","178700"
"1972 Q1","178900"
"1972 Q2","183665"
"1972 Q3","184154"
"1972 Q4","187051"
"1973 Q1","196348"
"1973 Q2","196607"
"1973 Q3","194730"
"1973 Q4","193898"
"1974 Q1","188603"
"1974 Q2","191332"
"1974 Q3","192567"
"1974 Q4","189755"
"1975 Q1","189858"
"1975 Q2","186727"
"1975 Q3","186110"
"1975 Q4","188217"
"1976 Q1","191244"
"1976 Q2","190920"
"1976 Q3","193296"
"1976 Q4","197392"
"1977 Q1","197523"
"1977 Q2","196076"
"1977 Q3","197433"
"1977 Q4","200857"
"1978 Q1","202577"
"1978 Q2","205036"
"1978 Q3","207797"
"1978 Q4","209701"
"1979 Q1","208860"
"1979 Q2","218120"
"1979 Q3","213354"
"1979 Q4","215599"
"1980 Q1","213480"
